sample_id,gt_label_int,gt_label_name,origin,louvain_cluster
112,17,jay,imagenet,125
113,17,jay,imagenet,125
114,17,jay,imagenet_sketch,584
115,17,jay,imagenet_sketch,43
116,17,jay,imagenet_sketch,43
117,17,jay,imagenet_sketch,429
118,19,chickadee,imagenet_sketch,42
119,19,chickadee,imagenet_sketch,537
120,20,water_ouzel,imagenet,664
121,20,water_ouzel,imagenet,55
122,20,water_ouzel,imagenet,664
123,20,water_ouzel,imagenet,55
124,20,water_ouzel,imagenet,664
125,20,water_ouzel,imagenet,55
126,20,water_ouzel,imagenet,664
127,20,water_ouzel,imagenet,42
128,20,water_ouzel,imagenet,55
129,20,water_ouzel,imagenet,664
130,20,water_ouzel,imagenet,55
131,20,water_ouzel,imagenet,664
132,20,water_ouzel,imagenet,664
133,20,water_ouzel,imagenet,55
134,20,water_ouzel,imagenet_sketch,42
135,21,kite,imagenet,56
136,21,kite,imagenet,85
137,21,kite,imagenet_sketch,238
138,22,bald_eagle,imagenet_r,204
139,23,vulture,imagenet_r,60
140,23,vulture,imagenet_r,473
141,23,vulture,imagenet_a,62
142,25,European_fire_salamander,imagenet,63
143,25,European_fire_salamander,imagenet_sketch,64
144,25,European_fire_salamander,imagenet_sketch,240
145,25,European_fire_salamander,imagenet_sketch,64
146,25,European_fire_salamander,imagenet_sketch,64
147,25,European_fire_salamander,imagenet_sketch,64
148,25,European_fire_salamander,imagenet_sketch,64
149,25,European_fire_salamander,imagenet_sketch,104
150,25,European_fire_salamander,imagenet_sketch,67
151,25,European_fire_salamander,imagenet_sketch,64
152,25,European_fire_salamander,imagenet_sketch,64
153,25,European_fire_salamander,imagenet_sketch,64
154,25,European_fire_salamander,imagenet_sketch,69
155,25,European_fire_salamander,imagenet_sketch,69
156,25,European_fire_salamander,imagenet_sketch,64
157,25,European_fire_salamander,imagenet_sketch,240
158,25,European_fire_salamander,imagenet_sketch,64
159,25,European_fire_salamander,imagenet_sketch,69
160,25,European_fire_salamander,imagenet_sketch,69
161,25,European_fire_salamander,imagenet_sketch,64
162,25,European_fire_salamander,imagenet_sketch,64
163,25,European_fire_salamander,imagenet_sketch,64
164,25,European_fire_salamander,imagenet_sketch,64
165,25,European_fire_salamander,imagenet_sketch,64
166,25,European_fire_salamander,imagenet_sketch,64
167,25,European_fire_salamander,imagenet_sketch,64
168,25,European_fire_salamander,imagenet_sketch,64
169,25,European_fire_salamander,imagenet_sketch,104
170,25,European_fire_salamander,imagenet_sketch,69
171,25,European_fire_salamander,imagenet_sketch,64
172,25,European_fire_salamander,imagenet_sketch,64
173,25,European_fire_salamander,imagenet_sketch,69
174,25,European_fire_salamander,imagenet_sketch,69
175,25,European_fire_salamander,imagenet_sketch,64
176,25,European_fire_salamander,imagenet_sketch,240
177,25,European_fire_salamander,imagenet_sketch,806
178,25,European_fire_salamander,imagenet_sketch,69
179,25,European_fire_salamander,imagenet_sketch,69
180,25,European_fire_salamander,imagenet_sketch,64
181,25,European_fire_salamander,imagenet_sketch,64
182,25,European_fire_salamander,imagenet_sketch,64
183,25,European_fire_salamander,imagenet_sketch,64
184,26,common_newt,imagenet,69
185,26,common_newt,imagenet,14
186,26,common_newt,imagenet,71
187,26,common_newt,imagenet,18
188,26,common_newt,imagenet,69
189,26,common_newt,imagenet,72
190,26,common_newt,imagenet,582
191,26,common_newt,imagenet,69
192,26,common_newt,imagenet,69
193,26,common_newt,imagenet_sketch,74
194,26,common_newt,imagenet_sketch,74
195,26,common_newt,imagenet_sketch,64
196,27,eft,imagenet,71
197,27,eft,imagenet,75
198,27,eft,imagenet,76
199,26,common_newt,imagenet,71
200,27,eft,imagenet,69
201,28,spotted_salamander,imagenet_sketch,64
202,44,alligator_lizard,imagenet,68
203,29,axolotl,imagenet,78
204,44,alligator_lizard,imagenet,68
205,29,axolotl,imagenet,11
206,29,axolotl,imagenet,78
207,44,alligator_lizard,imagenet,68
208,29,axolotl,imagenet,78
209,44,alligator_lizard,imagenet,68
210,29,axolotl,imagenet,78
211,44,alligator_lizard,imagenet,68
212,30,bullfrog,imagenet,68
213,30,bullfrog,imagenet,75
214,30,bullfrog,imagenet_sketch,79
215,30,bullfrog,imagenet_sketch,79
216,30,bullfrog,imagenet_sketch,79
217,30,bullfrog,imagenet_sketch,79
218,30,bullfrog,imagenet_sketch,79
219,30,bullfrog,imagenet_sketch,79
220,30,bullfrog,imagenet_sketch,79
221,30,bullfrog,imagenet_sketch,79
222,30,bullfrog,imagenet_sketch,79
223,30,bullfrog,imagenet_sketch,79
224,30,bullfrog,imagenet_sketch,79
225,30,bullfrog,imagenet_sketch,79
226,30,bullfrog,imagenet_sketch,79
227,30,bullfrog,imagenet_sketch,79
228,31,tree_frog,imagenet,79
229,31,tree_frog,imagenet_sketch,79
230,31,tree_frog,imagenet_sketch,79
231,31,tree_frog,imagenet_sketch,79
232,31,tree_frog,imagenet_sketch,79
233,33,loggerhead,imagenet,22
234,33,loggerhead,imagenet,22
235,33,loggerhead,imagenet,22
236,33,loggerhead,imagenet,8
237,33,loggerhead,imagenet,80
238,33,loggerhead,imagenet,81
239,34,leatherback_turtle,imagenet,90
240,34,leatherback_turtle,imagenet,90
241,34,leatherback_turtle,imagenet,90
242,34,leatherback_turtle,imagenet,90
243,34,leatherback_turtle,imagenet,90
244,34,leatherback_turtle,imagenet,248
245,33,loggerhead,imagenet,18
246,33,loggerhead,imagenet,85
247,34,leatherback_turtle,imagenet,90
248,34,leatherback_turtle,imagenet,86
249,34,leatherback_turtle,imagenet,87
250,34,leatherback_turtle,imagenet,88
251,34,leatherback_turtle,imagenet,358
252,34,leatherback_turtle,imagenet,90
253,34,leatherback_turtle,imagenet,90
254,34,leatherback_turtle,imagenet,90
255,34,leatherback_turtle,imagenet_sketch,90
256,34,leatherback_turtle,imagenet_sketch,90
257,34,leatherback_turtle,imagenet_sketch,90
258,34,leatherback_turtle,imagenet_sketch,90
259,34,leatherback_turtle,imagenet_sketch,90
260,34,leatherback_turtle,imagenet,90
261,35,mud_turtle,imagenet,91
262,35,mud_turtle,imagenet,90
263,35,mud_turtle,imagenet,76
264,35,mud_turtle,imagenet,90
265,35,mud_turtle,imagenet,75
266,35,mud_turtle,imagenet,76
267,35,mud_turtle,imagenet,90
268,35,mud_turtle,imagenet,76
269,35,mud_turtle,imagenet,90
270,35,mud_turtle,imagenet,90
271,35,mud_turtle,imagenet,76
272,35,mud_turtle,imagenet,90
273,35,mud_turtle,imagenet,76
274,36,terrapin,imagenet,90
275,36,terrapin,imagenet,90
276,37,box_turtle,imagenet,90
277,37,box_turtle,imagenet_sketch,90
278,37,box_turtle,imagenet_sketch,90
279,37,box_turtle,imagenet_sketch,90
280,26,common_newt,imagenet,93
281,38,banded_gecko,imagenet,137
282,26,common_newt,imagenet,98
283,44,alligator_lizard,imagenet,75
284,45,Gila_monster,imagenet,75
285,38,banded_gecko,imagenet,137
286,38,banded_gecko,imagenet,137
287,38,banded_gecko,imagenet_sketch,67
288,38,banded_gecko,imagenet_sketch,67
289,38,banded_gecko,imagenet_sketch,67
290,38,banded_gecko,imagenet_sketch,67
291,38,banded_gecko,imagenet_sketch,95
292,38,banded_gecko,imagenet_sketch,95
293,38,banded_gecko,imagenet_sketch,67
294,38,banded_gecko,imagenet_sketch,67
295,38,banded_gecko,imagenet_sketch,95
296,38,banded_gecko,imagenet_sketch,67
297,38,banded_gecko,imagenet_sketch,96
298,44,alligator_lizard,imagenet,97
299,39,common_iguana,imagenet,98
300,46,green_lizard,imagenet,99
301,39,common_iguana,imagenet_r,74
302,39,common_iguana,imagenet_a,90
303,39,common_iguana,imagenet_a,72
304,39,common_iguana,imagenet_sketch,74
305,39,common_iguana,imagenet_sketch,67
306,39,common_iguana,imagenet_sketch,95
307,39,common_iguana,imagenet_sketch,74
308,39,common_iguana,imagenet_sketch,74
309,46,green_lizard,imagenet,99
310,40,American_chameleon,imagenet_sketch,102
311,40,American_chameleon,imagenet_sketch,67
312,40,American_chameleon,imagenet_sketch,103
313,40,American_chameleon,imagenet_sketch,102
314,40,American_chameleon,imagenet_sketch,104
315,40,American_chameleon,imagenet_sketch,74
316,40,American_chameleon,imagenet_sketch,102
317,40,American_chameleon,imagenet_sketch,74
318,40,American_chameleon,imagenet_sketch,102
319,40,American_chameleon,imagenet_sketch,102
320,40,American_chameleon,imagenet_sketch,67
321,40,American_chameleon,imagenet_sketch,436
322,40,American_chameleon,imagenet_sketch,74
323,40,American_chameleon,imagenet_sketch,74
324,40,American_chameleon,imagenet_sketch,74
325,40,American_chameleon,imagenet_sketch,95
326,40,American_chameleon,imagenet_sketch,74
327,40,American_chameleon,imagenet_sketch,102
328,40,American_chameleon,imagenet_sketch,436
329,40,American_chameleon,imagenet_sketch,74
330,40,American_chameleon,imagenet_sketch,74
331,40,American_chameleon,imagenet_sketch,74
332,40,American_chameleon,imagenet_sketch,102
333,40,American_chameleon,imagenet_sketch,102
334,40,American_chameleon,imagenet_sketch,74
335,40,American_chameleon,imagenet_sketch,103
336,40,American_chameleon,imagenet_sketch,102
337,40,American_chameleon,imagenet_sketch,95
338,40,American_chameleon,imagenet_sketch,102
339,40,American_chameleon,imagenet_sketch,102
340,40,American_chameleon,imagenet_sketch,67
341,40,American_chameleon,imagenet_sketch,74
342,40,American_chameleon,imagenet_sketch,74
343,40,American_chameleon,imagenet_sketch,102
344,40,American_chameleon,imagenet_sketch,102
345,40,American_chameleon,imagenet_sketch,436
346,40,American_chameleon,imagenet_sketch,74
347,40,American_chameleon,imagenet_sketch,436
348,40,American_chameleon,imagenet_sketch,103
349,40,American_chameleon,imagenet_sketch,102
350,40,American_chameleon,imagenet_sketch,104
351,40,American_chameleon,imagenet_sketch,102
352,40,American_chameleon,imagenet_sketch,74
353,40,American_chameleon,imagenet_sketch,436
354,40,American_chameleon,imagenet_sketch,74
355,40,American_chameleon,imagenet_sketch,436
356,40,American_chameleon,imagenet_sketch,103
357,41,whiptail,imagenet,72
358,41,whiptail,imagenet,72
359,41,whiptail,imagenet,55
360,41,whiptail,imagenet,72
361,41,whiptail,imagenet,72
362,41,whiptail,imagenet,72
363,41,whiptail,imagenet,72
364,41,whiptail,imagenet,72
365,41,whiptail,imagenet,75
366,41,whiptail,imagenet,75
367,41,whiptail,imagenet,72
368,41,whiptail,imagenet,72
369,41,whiptail,imagenet,72
370,41,whiptail,imagenet,75
371,41,whiptail,imagenet,72
372,41,whiptail,imagenet,72
373,41,whiptail,imagenet,72
374,41,whiptail,imagenet,72
375,41,whiptail,imagenet,72
376,41,whiptail,imagenet,72
377,41,whiptail,imagenet_sketch,95
378,41,whiptail,imagenet_sketch,107
379,41,whiptail,imagenet_sketch,107
380,41,whiptail,imagenet_sketch,95
381,41,whiptail,imagenet_sketch,95
382,41,whiptail,imagenet_sketch,107
383,41,whiptail,imagenet_sketch,107
384,41,whiptail,imagenet_sketch,95
385,41,whiptail,imagenet_sketch,95
386,41,whiptail,imagenet_sketch,67
387,41,whiptail,imagenet_sketch,95
388,41,whiptail,imagenet_sketch,107
389,41,whiptail,imagenet_sketch,107
390,41,whiptail,imagenet_sketch,95
391,41,whiptail,imagenet,72
392,41,whiptail,imagenet,72
393,40,American_chameleon,imagenet,109
394,42,agama,imagenet,110
395,26,common_newt,imagenet,71
396,42,agama,imagenet,110
397,40,American_chameleon,imagenet,109
398,42,agama,imagenet,110
399,42,agama,imagenet,17
400,42,agama,imagenet,109
401,42,agama,imagenet_a,111
402,42,agama,imagenet_a,624
403,42,agama,imagenet_a,112
404,42,agama,imagenet_a,62
405,42,agama,imagenet_a,582
406,42,agama,imagenet_sketch,107
407,42,agama,imagenet_sketch,67
408,42,agama,imagenet_sketch,95
409,42,agama,imagenet_sketch,114
410,42,agama,imagenet_sketch,107
411,42,agama,imagenet_sketch,67
412,42,agama,imagenet_sketch,103
413,42,agama,imagenet_sketch,45
414,42,agama,imagenet_sketch,103
415,42,agama,imagenet_sketch,107
416,42,agama,imagenet_sketch,64
417,40,American_chameleon,imagenet,109
418,43,frilled_lizard,imagenet,115
419,43,frilled_lizard,imagenet,115
420,43,frilled_lizard,imagenet,115
421,43,frilled_lizard,imagenet,115
422,43,frilled_lizard,imagenet,115
423,43,frilled_lizard,imagenet,248
424,43,frilled_lizard,imagenet,71
425,43,frilled_lizard,imagenet,19
426,43,frilled_lizard,imagenet,115
427,43,frilled_lizard,imagenet,116
428,43,frilled_lizard,imagenet,117
429,43,frilled_lizard,imagenet,115
430,43,frilled_lizard,imagenet,115
431,43,frilled_lizard,imagenet,115
432,43,frilled_lizard,imagenet,115
433,43,frilled_lizard,imagenet,115
434,44,alligator_lizard,imagenet,118
435,44,alligator_lizard,imagenet,98
436,44,alligator_lizard,imagenet,118
437,44,alligator_lizard,imagenet_sketch,67
438,44,alligator_lizard,imagenet_sketch,107
439,44,alligator_lizard,imagenet_sketch,67
440,45,Gila_monster,imagenet,75
441,45,Gila_monster,imagenet,72
442,46,green_lizard,imagenet,637
443,46,green_lizard,imagenet,115
444,46,green_lizard,imagenet,72
445,46,green_lizard,imagenet,72
446,46,green_lizard,imagenet,103
447,46,green_lizard,imagenet,115
448,46,green_lizard,imagenet,72
449,46,green_lizard,imagenet_sketch,107
450,46,green_lizard,imagenet_sketch,45
451,46,green_lizard,imagenet_sketch,103
452,46,green_lizard,imagenet_sketch,74
453,46,green_lizard,imagenet_sketch,95
454,46,green_lizard,imagenet_sketch,67
455,46,green_lizard,imagenet_sketch,107
456,46,green_lizard,imagenet_sketch,103
457,46,green_lizard,imagenet_sketch,67
458,46,green_lizard,imagenet_sketch,64
459,46,green_lizard,imagenet_sketch,74
460,46,green_lizard,imagenet_sketch,103
461,46,green_lizard,imagenet_sketch,67
462,46,green_lizard,imagenet_sketch,107
463,46,green_lizard,imagenet_sketch,69
464,46,green_lizard,imagenet_sketch,103
465,46,green_lizard,imagenet_sketch,67
466,46,green_lizard,imagenet_sketch,95
467,46,green_lizard,imagenet_sketch,102
468,46,green_lizard,imagenet_sketch,103
469,46,green_lizard,imagenet_sketch,74
470,46,green_lizard,imagenet_sketch,103
471,46,green_lizard,imagenet_sketch,95
472,46,green_lizard,imagenet_sketch,103
473,46,green_lizard,imagenet_sketch,102
474,46,green_lizard,imagenet_sketch,67
475,46,green_lizard,imagenet_sketch,103
476,46,green_lizard,imagenet_sketch,103
477,46,green_lizard,imagenet_sketch,103
478,46,green_lizard,imagenet_sketch,103
479,46,green_lizard,imagenet_sketch,74
480,46,green_lizard,imagenet_sketch,95
481,46,green_lizard,imagenet_sketch,102
482,46,green_lizard,imagenet_sketch,67
483,46,green_lizard,imagenet_sketch,103
484,46,green_lizard,imagenet_sketch,103
485,46,green_lizard,imagenet_sketch,103
486,47,African_chameleon,imagenet,109
487,47,African_chameleon,imagenet,109
488,47,African_chameleon,imagenet,71
489,47,African_chameleon,imagenet,354
490,47,African_chameleon,imagenet,109
491,47,African_chameleon,imagenet,115
492,47,African_chameleon,imagenet,109
493,47,African_chameleon,imagenet,109
494,47,African_chameleon,imagenet_a,72
495,47,African_chameleon,imagenet_a,72
496,47,African_chameleon,imagenet_a,72
497,47,African_chameleon,imagenet_a,382
498,47,African_chameleon,imagenet_a,97
499,47,African_chameleon,imagenet_a,73
500,47,African_chameleon,imagenet_a,109
501,49,African_crocodile,imagenet,50
502,49,African_crocodile,imagenet,18
503,49,African_crocodile,imagenet,124
504,49,African_crocodile,imagenet,125
505,50,American_alligator,imagenet,637
506,50,American_alligator,imagenet,126
507,50,American_alligator,imagenet,80
508,49,African_crocodile,imagenet,75
509,50,American_alligator,imagenet,80
510,50,American_alligator,imagenet_sketch,114
511,50,American_alligator,imagenet_sketch,114
512,50,American_alligator,imagenet_sketch,114
513,50,American_alligator,imagenet_sketch,127
514,50,American_alligator,imagenet_sketch,114
515,50,American_alligator,imagenet_sketch,114
516,50,American_alligator,imagenet_sketch,114
517,50,American_alligator,imagenet_sketch,114
518,50,American_alligator,imagenet_sketch,114
519,50,American_alligator,imagenet_sketch,114
520,50,American_alligator,imagenet_sketch,114
521,50,American_alligator,imagenet_sketch,114
522,52,thunder_snake,imagenet,55
523,52,thunder_snake,imagenet,55
524,52,thunder_snake,imagenet,55
525,52,thunder_snake,imagenet,128
526,60,night_snake,imagenet,55
527,52,thunder_snake,imagenet,78
528,52,thunder_snake,imagenet,128
529,52,thunder_snake,imagenet,129
530,52,thunder_snake,imagenet,55
531,52,thunder_snake,imagenet,55
532,60,night_snake,imagenet,55
533,52,thunder_snake,imagenet,128
534,52,thunder_snake,imagenet,128
535,60,night_snake,imagenet,55
536,52,thunder_snake,imagenet,78
537,52,thunder_snake,imagenet,130
538,52,thunder_snake,imagenet,128
539,52,thunder_snake,imagenet,75
540,52,thunder_snake,imagenet,55
541,52,thunder_snake,imagenet,46
542,60,night_snake,imagenet,55
543,52,thunder_snake,imagenet,78
544,52,thunder_snake,imagenet,131
545,57,garter_snake,imagenet,132
546,52,thunder_snake,imagenet,128
547,52,thunder_snake,imagenet,133
548,52,thunder_snake,imagenet,131
549,52,thunder_snake,imagenet,55
550,52,thunder_snake,imagenet,128
551,60,night_snake,imagenet,55
552,52,thunder_snake,imagenet,78
553,52,thunder_snake,imagenet,128
554,52,thunder_snake,imagenet,128
555,52,thunder_snake,imagenet,129
556,52,thunder_snake,imagenet,55
557,52,thunder_snake,imagenet,128
558,52,thunder_snake,imagenet,128
559,52,thunder_snake,imagenet_sketch,134
560,53,ringneck_snake,imagenet,135
561,53,ringneck_snake,imagenet,46
562,53,ringneck_snake,imagenet,129
563,53,ringneck_snake,imagenet,46
564,53,ringneck_snake,imagenet,129
565,53,ringneck_snake,imagenet,46
566,53,ringneck_snake,imagenet,129
567,53,ringneck_snake,imagenet,128
568,53,ringneck_snake,imagenet,46
569,53,ringneck_snake,imagenet,129
570,53,ringneck_snake,imagenet,129
571,53,ringneck_snake,imagenet,137
572,53,ringneck_snake,imagenet,129
573,53,ringneck_snake,imagenet,46
574,53,ringneck_snake,imagenet,46
575,53,ringneck_snake,imagenet,129
576,53,ringneck_snake,imagenet,129
577,53,ringneck_snake,imagenet,46
578,53,ringneck_snake,imagenet,129
579,53,ringneck_snake,imagenet_sketch,138
580,53,ringneck_snake,imagenet_sketch,138
581,53,ringneck_snake,imagenet_sketch,138
582,53,ringneck_snake,imagenet_sketch,138
583,53,ringneck_snake,imagenet_sketch,138
584,53,ringneck_snake,imagenet_sketch,138
585,53,ringneck_snake,imagenet_sketch,138
586,53,ringneck_snake,imagenet_sketch,138
587,53,ringneck_snake,imagenet_sketch,138
588,53,ringneck_snake,imagenet_sketch,138
589,53,ringneck_snake,imagenet_sketch,138
590,53,ringneck_snake,imagenet_sketch,138
591,53,ringneck_snake,imagenet_sketch,138
592,53,ringneck_snake,imagenet_sketch,138
593,53,ringneck_snake,imagenet_sketch,138
594,53,ringneck_snake,imagenet_sketch,138
595,54,hognose_snake,imagenet,139
596,54,hognose_snake,imagenet,93
597,54,hognose_snake,imagenet,140
598,54,hognose_snake,imagenet,168
599,54,hognose_snake,imagenet,139
600,54,hognose_snake,imagenet,140
601,54,hognose_snake,imagenet,93
602,54,hognose_snake,imagenet,140
603,54,hognose_snake,imagenet,140
604,54,hognose_snake,imagenet,93
605,54,hognose_snake,imagenet,93
606,54,hognose_snake,imagenet,139
607,54,hognose_snake,imagenet,140
608,54,hognose_snake,imagenet,168
609,54,hognose_snake,imagenet,93
610,54,hognose_snake,imagenet,93
611,54,hognose_snake,imagenet,140
612,54,hognose_snake,imagenet,168
613,54,hognose_snake,imagenet,131
614,60,night_snake,imagenet,46
615,54,hognose_snake,imagenet,14
616,54,hognose_snake,imagenet,142
617,54,hognose_snake,imagenet,142
618,54,hognose_snake,imagenet,142
619,54,hognose_snake,imagenet,14
620,54,hognose_snake,imagenet,142
621,54,hognose_snake,imagenet,75
622,54,hognose_snake,imagenet,14
623,54,hognose_snake,imagenet,71
624,54,hognose_snake,imagenet,142
625,54,hognose_snake,imagenet,93
626,54,hognose_snake,imagenet,142
627,54,hognose_snake,imagenet,142
628,54,hognose_snake,imagenet,139
629,54,hognose_snake,imagenet,140
630,54,hognose_snake,imagenet,93
631,54,hognose_snake,imagenet,93
632,54,hognose_snake,imagenet,140
633,54,hognose_snake,imagenet,93
634,54,hognose_snake,imagenet,93
635,54,hognose_snake,imagenet,93
636,54,hognose_snake,imagenet,139
637,54,hognose_snake,imagenet,93
638,54,hognose_snake,imagenet,140
639,54,hognose_snake,imagenet,168
640,54,hognose_snake,imagenet_sketch,134
641,54,hognose_snake,imagenet_sketch,143
642,54,hognose_snake,imagenet_sketch,134
643,54,hognose_snake,imagenet_sketch,789
644,54,hognose_snake,imagenet_sketch,134
645,54,hognose_snake,imagenet_sketch,134
646,54,hognose_snake,imagenet_sketch,134
647,54,hognose_snake,imagenet_sketch,148
648,54,hognose_snake,imagenet_sketch,143
649,54,hognose_snake,imagenet_sketch,138
650,54,hognose_snake,imagenet_sketch,134
651,54,hognose_snake,imagenet_sketch,134
652,54,hognose_snake,imagenet_sketch,789
653,54,hognose_snake,imagenet_sketch,134
654,54,hognose_snake,imagenet_sketch,134
655,54,hognose_snake,imagenet_sketch,134
656,54,hognose_snake,imagenet_sketch,148
657,55,green_snake,imagenet,145
658,55,green_snake,imagenet,145
659,62,rock_python,imagenet,71
660,62,rock_python,imagenet,146
661,55,green_snake,imagenet,145
662,55,green_snake,imagenet_sketch,481
663,55,green_snake,imagenet_sketch,148
664,55,green_snake,imagenet_sketch,149
665,55,green_snake,imagenet_sketch,134
666,55,green_snake,imagenet_sketch,150
667,55,green_snake,imagenet_sketch,148
668,55,green_snake,imagenet_sketch,149
669,55,green_snake,imagenet_sketch,150
670,55,green_snake,imagenet_sketch,149
671,55,green_snake,imagenet_sketch,148
672,55,green_snake,imagenet_sketch,149
673,55,green_snake,imagenet_sketch,149
674,55,green_snake,imagenet_sketch,150
675,55,green_snake,imagenet_sketch,149
676,55,green_snake,imagenet_sketch,150
677,55,green_snake,imagenet_sketch,134
678,55,green_snake,imagenet_sketch,149
679,55,green_snake,imagenet_sketch,148
680,55,green_snake,imagenet_sketch,149
681,55,green_snake,imagenet_sketch,134
682,55,green_snake,imagenet_sketch,150
683,55,green_snake,imagenet_sketch,148
684,55,green_snake,imagenet_sketch,150
685,55,green_snake,imagenet_sketch,149
686,56,king_snake,imagenet,75
687,56,king_snake,imagenet,142
688,57,garter_snake,imagenet_sketch,148
689,57,garter_snake,imagenet_sketch,240
690,57,garter_snake,imagenet_sketch,148
691,57,garter_snake,imagenet_sketch,148
692,57,garter_snake,imagenet_sketch,104
693,57,garter_snake,imagenet_sketch,240
694,57,garter_snake,imagenet_sketch,148
695,57,garter_snake,imagenet_sketch,148
696,57,garter_snake,imagenet_sketch,240
697,57,garter_snake,imagenet_sketch,148
698,57,garter_snake,imagenet_sketch,148
699,57,garter_snake,imagenet_sketch,240
700,57,garter_snake,imagenet_sketch,240
701,58,water_snake,imagenet,139
702,58,water_snake,imagenet,131
703,58,water_snake,imagenet,504
704,58,water_snake,imagenet,131
705,58,water_snake,imagenet,142
706,58,water_snake,imagenet,14
707,56,king_snake,imagenet,153
708,58,water_snake,imagenet,140
709,58,water_snake,imagenet,139
710,59,vine_snake,imagenet,726
711,59,vine_snake,imagenet_sketch,138
712,59,vine_snake,imagenet_sketch,143
713,59,vine_snake,imagenet_sketch,138
714,60,night_snake,imagenet,168
715,60,night_snake,imagenet,97
716,60,night_snake,imagenet,140
